job_id,title,company,city,state,posted_date,salary_min,salary_max,employment_type,category,description
100000,Data Engineer,Microsoft,New York,MA,2024-09-13,82657,92404,FULL_TIME,Tech,"Data Engineer role at Microsoft in New York"
100001,Data Engineer,Amazon,San Jose,WA,2024-07-23,79829,90461,FULL_TIME,Tech,"Data Engineer role at Amazon in San Jose"
100002,Data Scientist,Meta,Dallas,IL,2024-02-17,181285,190158,FULL_TIME,Tech,"Data Scientist role at Meta in Dallas"
100003,BI Analyst,Amazon,San Jose,IL,2024-04-11,173987,182236,FULL_TIME,Tech,"BI Analyst role at Amazon in San Jose"
100004,BI Analyst,Microsoft,Seattle,CA,2024-02-28,107815,148249,FULL_TIME,Tech,"BI Analyst role at Microsoft in Seattle"
100005,Data Engineer,Microsoft,Dallas,IL,2024-04-21,219737,266608,FULL_TIME,Tech,"Data Engineer role at Microsoft in Dallas"
100006,Data Scientist,Google,San Jose,TX,2024-09-23,123990,161523,FULL_TIME,Tech,"Data Scientist role at Google in San Jose"
100007,Data Engineer,TCS,San Jose,CA,2024-04-15,164786,189431,FULL_TIME,Tech,"Data Engineer role at TCS in San Jose"
100008,Software Engineer,Google,San Jose,NY,2024-06-24,207677,245124,FULL_TIME,Tech,"Software Engineer role at Google in San Jose"
100009,Data Engineer,Google,Dallas,IL,2024-06-14,179608,195418,FULL_TIME,Tech,"Data Engineer role at Google in Dallas"
100010,ML Engineer,Infosys,Dallas,MA,2024-06-20,90347,131921,FULL_TIME,Tech,"ML Engineer role at Infosys in Dallas"
100011,Data Engineer,TCS,San Jose,CA,2024-05-25,88025,99158,FULL_TIME,Tech,"Data Engineer role at TCS in San Jose"
100012,Data Scientist,Amazon,Chicago,MA,2024-08-19,151161,198571,FULL_TIME,Tech,"Data Scientist role at Amazon in Chicago"
100013,ML Engineer,Deloitte,Dallas,CA,2024-02-25,163182,179195,FULL_TIME,Tech,"ML Engineer role at Deloitte in Dallas"
100014,Data Scientist,Meta,Boston,NY,2024-07-22,103905,125132,FULL_TIME,Tech,"Data Scientist role at Meta in Boston"
100015,ML Engineer,Google,Austin,CA,2024-05-14,175288,216296,FULL_TIME,Tech,"ML Engineer role at Google in Austin"
100016,ML Engineer,Apple,Chicago,CA,2024-07-17,164049,213791,FULL_TIME,Tech,"ML Engineer role at Apple in Chicago"
100017,Software Engineer,Google,Austin,WA,2024-04-10,130806,178962,FULL_TIME,Tech,"Software Engineer role at Google in Austin"
100018,ML Engineer,Microsoft,Seattle,NY,2024-07-27,71073,85620,FULL_TIME,Tech,"ML Engineer role at Microsoft in Seattle"
100019,Data Engineer,Deloitte,Austin,MA,2024-01-24,205132,250606,FULL_TIME,Tech,"Data Engineer role at Deloitte in Austin"
100020,BI Analyst,Infosys,New York,CA,2024-08-22,173316,185101,FULL_TIME,Tech,"BI Analyst role at Infosys in New York"
100021,Data Scientist,Meta,Dallas,WA,2024-02-20,185507,201143,FULL_TIME,Tech,"Data Scientist role at Meta in Dallas"
100022,BI Analyst,Amazon,Dallas,TX,2024-09-13,218578,233491,FULL_TIME,Tech,"BI Analyst role at Amazon in Dallas"
